,TV Ad Budget,Radio Ad Budget,Newspaper Ad Budget,Sales
141,193.7,35.4,75.6,960.0
142,220.5,33.2,37.9,1005.0
143,104.6,5.7,34.4,520.0
144,96.2,14.8,38.9,570.0
145,140.3,1.9,9.0,515.0
146,240.1,7.3,8.7,660.0
147,243.2,49.0,44.3,1270.0
148,38.0,40.3,11.9,545.0
149,44.7,25.8,20.6,505.0
150,280.7,13.9,37.0,805.0000000000001
151,121.0,8.4,48.7,580.0
152,197.6,23.3,14.2,830.0000000000001
153,171.3,39.7,37.7,950.0
154,187.8,21.1,9.5,780.0
155,4.1,11.6,5.7,160.0
156,93.9,43.5,50.5,765.0
157,149.8,1.3,24.3,505.0
158,11.7,36.9,45.2,365.0
159,131.7,18.4,34.6,645.0
160,172.5,18.1,30.7,720.0
161,85.7,35.8,49.3,665.0
162,188.4,18.1,25.6,745.0
163,163.5,36.8,7.4,900.0
164,117.2,14.7,5.4,595.0
165,234.5,3.4,84.8,595.0
166,17.9,37.6,21.6,400.0
167,206.8,5.2,19.4,610.0
168,215.4,23.6,57.6,855.0000000000001
169,284.3,10.6,6.4,750.0
170,50.0,11.6,18.4,420.0
171,164.5,20.9,47.4,725.0
172,19.6,20.1,17.0,380.0
173,168.4,7.1,12.8,585.0
174,222.4,3.4,13.1,575.0
175,276.9,48.9,41.8,1350.0
176,248.4,30.2,20.3,1010.0
177,170.2,7.8,35.2,585.0
178,276.7,2.3,23.7,590.0
179,165.6,10.0,17.6,630.0
180,156.6,2.6,8.3,525.0
181,218.5,5.4,27.4,610.0
182,56.2,5.7,29.7,435.0
183,287.6,43.0,71.8,1310.0
184,253.8,21.3,30.0,880.0000000000001
185,205.0,45.1,19.6,1130.0
186,139.5,2.1,26.6,515.0
187,191.1,28.7,18.2,865.0
188,286.0,13.9,3.7,795.0
189,18.7,12.1,23.4,335.0
190,39.5,41.1,5.8,540.0
191,75.5,10.8,6.0,495.0
192,17.2,4.1,31.6,295.0
193,166.8,42.0,3.6,980.0
194,149.7,35.6,6.0,865.0
195,38.2,3.7,13.8,380.0
196,94.2,4.9,8.1,485.0
197,177.0,9.3,6.4,640.0
198,283.6,42.0,66.2,1275.0
199,232.1,8.6,8.7,670.0
